Transaction_ID,Customer_ID,Date,Product_Category,Purchase_Amount,Customer_Age,Payment_Method
TXN_1913,CUST_259,2026-05-27 21:00:00,Books,75.42955419422151,51.0,Debit Card
TXN_2144,CUST_203,2026-02-15 17:00:00,Books,172.76251756713106,22.0,Debit Card
TXN_1000,CUST_202,25-03-2026 05:00,Clothing,188.00634659340426,58.0,Debit Card
TXN_2126,CUST_159,2026-05-26 16:00:00,Beauty,59.691030904723085,67.0,Credit Card
TXN_1032,CUST_158,2026-05-14 12:00:00,Clothing,,42.0,Cash
TXN_1475,CUST_162,2026-03-06 22:00:00,Home & Kitchen,103.54977170854019,33.0,PayPal
TXN_1805,CUST_204,2026-05-12 22:00:00,Books,327.0327178824548,59.0,Debit Card
TXN_1648,CUST_141,2026-01-23 20:00:00,Home & Kitchen,109.26558314584604,53.0,PayPal
TXN_1116,CUST_222,2026-05-29 03:00:00,Home & Kitchen,119.52362326298164,25.0,Debit Card
TXN_1344,CUST_107,2026-02-02 19:00:00,BEAUTY,180.51906834528788,57.0,PayPal
TXN_1915,CUST_160,23-03-2026 09:00,Beauty,70.41822973968979,41.0,PayPal
TXN_1252,,2026-05-11 22:00:00,Beauty,177.82615159884097,49.0,Cash
TXN_1799,CUST_185,2026-05-29 02:00:00,Clothing,54.511597867193714,44.0,PayPal
TXN_1087,CUST_114,2026-01-21 10:00:00,Beauty,42.707462130366636,,Debit Card
TXN_1721,CUST_157,2026-02-14 18:00:00,Clothing,137.10470351528508,62.0,Credit Card
TXN_2018,CUST_249,2026-04-16 06:00:00,Home & Kitchen,-70.74454310285967,35.0,Credit Card
TXN_1099,CUST_256,2026-05-19 19:00:00,Books,,58.0,Credit Card
TXN_1700,CUST_240,,Clothing,79.7144304873826,46.0,Cash
TXN_1375,CUST_198,28-01-2026 19:00,Home & Kitchen,9999.99,63.0,
TXN_1134,CUST_200,2026-01-18 20:00:00,Clothing,102.72315837198143,30.0,Credit Card
TXN_1002,CUST_192,2026-02-01 00:00:00,BOOKS,128.5955499472714,44.0,Cash
TXN_1020,CUST_187,,Home & Kitchen,153.6559704814783,52.0,Debit Card
TXN_1168,CUST_284,2026-01-12 16:00:00,Home & Kitchen,65.66154774456359,65.0,Credit Card
TXN_1706,CUST_226,2026-04-21 18:00:00,Electronics,86.82984795425095,67.0,Credit Card
TXN_1361,CUST_116,2026-04-01 01:00:00,Books,183.8395639689789,21.0,Debit Card
TXN_2061,CUST_167,2026-01-07 16:00:00,Books,121.04346995015617,33.0,Debit Card
TXN_1247,CUST_169,2026-05-29 09:00:00,Clothing,148.55782074135408,62.0,Debit Card
TXN_1407,CUST_269,2026-04-15 18:00:00,Home & Kitchen,138.62944699415186,25.0,PayPal
TXN_1532,CUST_237,2026-05-19 06:00:00,Books,184.64289515216572,19.0,Cash
TXN_2043,CUST_233,2026-05-07 18:00:00,Books,108.65939567779691,56.0,Debit Card
TXN_1998,CUST_210,2026-03-09 14:00:00,Beauty,-37.386005138079554,51.0,Cash
TXN_1838,CUST_253,2026-04-28 03:00:00,Home & Kitchen,99.41599995057683,39.0,PayPal
TXN_1612,CUST_212,2026-05-27 20:00:00,Home & Kitchen,-50.0,32.0,Cash
TXN_1735,CUST_245,14-05-2026 05:00,Electronics,79.18713490798262,36.0,Debit Card
TXN_1770,CUST_290,2026-04-14 01:00:00,Electronics,8.17556172605623,39.0,Credit Card
TXN_1149,CUST_195,2026-01-19 22:00:00,Elec,95.22802288095511,50.0,Cash
TXN_1393,CUST_274,2026-01-16 16:00:00,Home & Kitchen,108.67793973064414,66.0,Debit Card
TXN_1653,CUST_232,2026-01-25 08:00:00,Electronics,185.3469609144785,35.0,Debit Card
TXN_2007,CUST_279,2026-03-25 18:00:00,Clothing,79.98417463232033,,Debit Card
TXN_1157,CUST_135,2026-01-03 00:00:00,Beauty,181.74369417885288,39.0,Cash
TXN_1381,CUST_166,2026-03-02 03:00:00,Books,77.64264291943934,56.0,PayPal
TXN_1513,CUST_128,2026-05-04 04:00:00,Home & Kitchen,-50.0,40.0,Debit Card
TXN_1242,CUST_238,2026-01-21 03:00:00,Beauty,196.42153897657644,42.0,Cash
TXN_1579,CUST_214,2026-01-19 17:00:00,Clothing,205.6864400322244,49.0,Cash
TXN_1339,CUST_257,2026-05-08 21:00:00,Books,-7.671517485929073,34.0,PayPal
TXN_1183,CUST_126,2026-04-29 06:00:00,Electronics,101.64941345156262,43.0,PayPal
TXN_1613,CUST_161,2026-01-19 21:00:00,Clothing,238.24575186851553,18.0,Debit Card
TXN_1834,CUST_191,2026-01-30 04:00:00,Home & Kitchen,103.30653030236273,53.0,Debit Card
TXN_1268,CUST_110,2026-02-26 01:00:00,Books,143.27578914715883,43.0,Credit Card
TXN_1198,CUST_158,2026-04-23 22:00:00,Beauty,177.47339387773127,37.0,PayPal
TXN_1230,CUST_259,2026-02-26 19:00:00,CLOTHING,160.81259751321468,48.0,PayPal
TXN_1855,CUST_241,06-04-2026 06:00,Home & Kitchen,24.128630003836378,30.0,Debit Card
TXN_1285,CUST_296,27-02-2026 16:00,Home & Kitchen,99.4975340598742,27.0,Cash
TXN_1777,CUST_233,2026-02-03 18:00:00,Clothing,172.3544821684497,24.0,Credit Card
TXN_1267,CUST_228,2026-01-22 15:00:00,Beauty,157.8725932569973,64.0,Credit Card
TXN_1109,CUST_162,2026-05-16 07:00:00,Beauty,102.27707219330094,63.0,Debit Card
TXN_1224,CUST_225,2026-05-06 06:00:00,Clothing,113.38279808828054,45.0,Debit Card
TXN_1737,CUST_148,2026-03-19 09:00:00,Home & Kitchen,181.660016769503,18.0,Credit Card
TXN_1827,CUST_272,2026-05-15 06:00:00,books,-50.0,48.0,Cash
TXN_1141,CUST_126,2026-04-02 12:00:00,Clothing,159.14036280610622,49.0,Debit Card
TXN_1695,CUST_118,2026-03-06 19:00:00,Clothing,-45.97120300370946,24.0,Cash
TXN_1772,CUST_260,2026-04-01 21:00:00,Home & Kitchen,134.39314956371334,28.0,Credit Card
TXN_2088,CUST_267,2026-05-03 09:00:00,Beauty,114.91411686511029,32.0,PayPal
TXN_1081,CUST_143,2026-05-17 08:00:00,Home & Kitchen,115.40874375987661,39.0,Cash
TXN_1713,CUST_290,2026-01-04 07:00:00,Electronics,121.25582367662066,62.0,PayPal
TXN_2128,CUST_134,2026-03-02 00:00:00,BEAUTY,209.99460362425927,63.0,PayPal
TXN_1652,CUST_221,2026-01-11 16:00:00,Beauty,-6.594237921891192,30.0,Debit Card
TXN_1988,CUST_112,2026-02-27 10:00:00,Books,198.08325754847573,61.0,Debit Card
TXN_1254,CUST_189,2026-04-25 20:00:00,Clothing,200.57257604773355,,Debit Card
TXN_1194,CUST_264,2026-01-30 05:00:00,Beauty,238.55686147492287,55.0,PayPal
TXN_2137,CUST_188,2026-01-28 07:00:00,Beauty,197.6252961430625,69.0,Credit Card
TXN_1210,CUST_230,10-03-2026 19:00,Books,175.42152254790884,61.0,Cash
TXN_1354,CUST_160,2026-02-15 19:00:00,Beauty,107.33556175922689,48.0,Credit Card
TXN_2192,CUST_217,2026-04-22 00:00:00,Beauty,230.27738843630465,26.0,Cash
TXN_1962,CUST_208,2026-05-27 23:00:00,Clothing,58.30397603605675,20.0,Cash
TXN_1764,CUST_277,2026-02-08 16:00:00,Clothing,264.60868062154105,61.0,Credit Card
TXN_1405,CUST_275,17-03-2026 13:00,Home & Kitchen,228.80927201442503,47.0,PayPal
TXN_2072,CUST_136,2026-04-18 18:00:00,Books,21.405500866879976,60.0,PayPal
TXN_2001,CUST_212,2026-05-01 00:00:00,Books,139.95341501480334,58.0,Credit Card
TXN_1172,CUST_207,2026-03-11 23:00:00,Books,-41.38710384979291,31.0,Credit Card
TXN_1026,CUST_120,2026-02-02 03:00:00,Beauty,72.85342148581105,41.0,PayPal
TXN_1520,CUST_275,,electronics,102.31660291703595,52.0,PayPal
TXN_1452,CUST_159,2026-03-28 12:00:00,Electronics,228.0891271989372,30.0,Cash
TXN_1802,CUST_276,2026-02-16 22:00:00,Beauty,13.131007666510925,44.0,Cash
TXN_1861,CUST_291,2026-03-11 05:00:00,Books,137.4241871798981,66.0,PayPal
TXN_2169,CUST_141,2026-03-28 23:00:00,Beauty,176.56258876886278,40.0,
TXN_2089,CUST_229,2026-03-08 18:00:00,Books,3.925768711102066,42.0,Cash
TXN_1793,CUST_245,2026-02-10 08:00:00,Books,281.80721844555853,44.0,Debit Card
TXN_1489,CUST_221,2026-02-17 21:00:00,Home & Kitchen,8.856101583120775,34.0,PayPal
TXN_1427,CUST_197,2026-05-21 05:00:00,Electronics,110.07828900880024,37.0,PayPal
TXN_1189,CUST_297,2026-03-23 18:00:00,Electronics,292.39429419065135,64.0,Credit Card
TXN_1336,CUST_214,2026-02-20 14:00:00,Electronics,8.364119619594248,46.0,PayPal
TXN_1384,CUST_124,2026-04-30 19:00:00,Home & Kitchen,-89.98536450992896,51.0,Credit Card
TXN_2132,CUST_222,2026-03-15 06:00:00,Home & Kitchen,129.07155135733515,34.0,Credit Card
TXN_2109,CUST_216,2026-05-07 05:00:00,Electronics,-36.5870871307192,30.0,Credit Card
TXN_1464,CUST_267,2026-01-10 13:00:00,Home & Kitchen,207.7237694584203,68.0,Credit Card
TXN_1879,CUST_128,2026-01-27 15:00:00,home & kitchen,253.98877383312518,55.0,Credit Card
TXN_1115,CUST_132,2026-04-24 09:00:00,Home & Kitchen,41.23727596144255,,Debit Card
TXN_1256,CUST_246,2026-04-27 03:00:00,HOME & KITCHEN,122.09638022192286,,Cash
TXN_2171,CUST_114,2026-01-28 04:00:00,Clothing,39.367064365743516,21.0,Debit Card
TXN_1568,CUST_194,2026-05-27 05:00:00,Home & Kitchen,177.25873929366725,41.0,Debit Card
TXN_1569,CUST_145,2026-03-08 04:00:00,Electronics,311.54895204659607,24.0,PayPal
TXN_2110,,25-05-2026 15:00,BEAUTY,66.54855613377865,54.0,Cash
TXN_1304,CUST_265,2026-05-11 12:00:00,Clothing,9999.99,58.0,Debit Card
TXN_2102,CUST_194,2026-02-27 04:00:00,Home & Kitchen,141.84947474349153,63.0,Debit Card
TXN_1510,CUST_278,06-01-2026 14:00,Home & Kitchen,,51.0,Cash
TXN_2186,CUST_165,2026-01-04 00:00:00,electronics,109.52593558990988,26.0,Cash
TXN_2048,CUST_161,2026-02-02 00:00:00,Beauty,215.64251104693676,47.0,PayPal
TXN_1418,CUST_272,2026-03-13 22:00:00,Clothing,170.59633733138406,63.0,PayPal
TXN_2069,CUST_241,2026-02-25 00:00:00,CLOTHING,320.07203983474255,41.0,PayPal
TXN_1347,CUST_120,2026-02-16 06:00:00,Clothing,9999.99,53.0,PayPal
TXN_1726,CUST_160,2026-02-21 05:00:00,Home & Kitchen,9999.99,38.0,PayPal
TXN_1524,CUST_132,2026-04-19 21:00:00,books,-47.948501153522045,63.0,Credit Card
TXN_1868,CUST_190,2026-01-15 03:00:00,Beauty,58.26073483225741,51.0,Debit Card
TXN_1859,CUST_202,2026-05-06 16:00:00,Electronics,119.26541172918888,35.0,Credit Card
TXN_2036,CUST_135,2026-01-18 21:00:00,Beauty,,43.0,Credit Card
TXN_1872,CUST_265,2026-04-26 02:00:00,Beauty,92.225080391019,40.0,Credit Card
TXN_1678,CUST_208,2026-01-21 10:00:00,Clothing,192.63698509016393,65.0,Debit Card
TXN_1236,CUST_137,2026-05-24 21:00:00,Home & Kitchen,173.30157376348185,35.0,Credit Card
TXN_1033,CUST_269,2026-04-27 01:00:00,Home & Kitchen,24.464847912616847,27.0,Debit Card
TXN_1467,CUST_112,2026-01-28 02:00:00,Beauty,209.78993749625278,51.0,
TXN_1429,CUST_131,2026-04-23 07:00:00,Beauty,119.21241530796937,22.0,
TXN_2037,CUST_251,2026-02-02 16:00:00,Home,9.438594504604993,40.0,PayPal
TXN_1904,CUST_203,2026-03-03 17:00:00,Home & Kitchen,20.62027731606166,40.0,PayPal
TXN_1162,CUST_185,2026-05-08 13:00:00,beauty,207.68559259819187,33.0,Debit Card
TXN_1468,CUST_213,2026-03-25 05:00:00,BOOKS,83.2188307335619,44.0,Debit Card
TXN_1031,CUST_148,2026-05-11 02:00:00,Books,206.14785157261443,21.0,Credit Card
TXN_1664,CUST_240,2026-05-21 03:00:00,Books,154.8804620178064,69.0,PayPal
TXN_1132,CUST_134,2026-02-08 16:00:00,Beauty,153.74240594006966,56.0,Debit Card
TXN_1829,CUST_289,2026-01-03 18:00:00,Beauty,106.47018514857469,28.0,Cash
TXN_1534,CUST_285,2026-05-09 23:00:00,Books,86.09922543818374,66.0,
TXN_2081,CUST_109,2026-01-06 11:00:00,Clothing,157.51824625187743,47.0,Debit Card
TXN_1400,CUST_116,,Home & Kitchen,135.27332193149687,,Cash
TXN_1470,CUST_205,2026-04-03 05:00:00,Home & Kitchen,120.25181815250613,20.0,Cash
TXN_1030,CUST_188,05-05-2026 19:00,Books,55.586259860569896,42.0,Cash
TXN_1307,CUST_211,2026-05-09 22:00:00,Electronics,121.55049901584202,37.0,Cash
TXN_2082,CUST_104,2026-04-14 03:00:00,Beauty,80.64344761044136,44.0,Cash
TXN_1295,CUST_153,2026-01-08 23:00:00,Home & Kitchen,173.50721044369746,63.0,Credit Card
TXN_1049,CUST_266,2026-04-09 20:00:00,Electronics,46.97512645627896,40.0,Credit Card
TXN_1114,CUST_262,2026-05-02 22:00:00,Home & Kitchen,136.75760669182182,31.0,Credit Card
